음식 재료
곡물
과일
견과류
채소
고기
가공육
유제품
생선
조개
조류(식물)
충식
조미료
장류
식용유
스프레드(식품)
당
양념
소스
향신료
버섯
가공식품
기호식품
커피
차
술
음료
초콜릿
과자
아이스크림
빵
떡
라면
패스트푸드
젤리
담배
식품/제조사
요리
식당
화학
영양소
괴식
식품
곡물
곡물
곡류
강아지풀
조(식물)
귀리
기장(식물)
밀
호라산밀
듀럼밀
벼
쌀
자포니카
인디카
보리
사탕수수
수수
옥수수
율무
줄(식물)
테프
포니오
피(식물)
호밀
강낭콩
녹두
대두(콩)
동부
땅콩
렌틸
병아리콩
서리태
완두
작두콩
콩
팥
아곡류
메밀
아마란스(식물)
치아(식물)
퀴노아
틀:고기
틀:곡물
틀:과일
틀:채소
틀:식용 해조류
틀:향신료
쌀
쌀
벼
쌀
밥
백미
현미
자포니카
인디카
찹쌀
흑미밥
통일미
새누리
추청벼
고시히카리
쌀
찐쌀
튀밥
쌀가루
쌀겨
밥
죽
떡
퍼(국수)
밀
옥수수
두부
순두부
연두부
콩
강낭콩
대두(콩)
렌틸
병아리콩
서리태
완두
풋콩
녹두
팥
보리
엿기름
청보리
귀리
오트밀
기장(식물)
수수
율무
조(식물)
호라산밀
피(식물)
현대 농가에선 상품성이 없어 잡초취급하지만 조선시대까지만 해도 엄연한 오곡의 하나로 식용했다. '가난해서 피죽도 못먹는다' 할 때의 피가 바로 이것.
참깨
호밀
메밀
아마란스
과일
과일
산딸기
블랙베리
복분자
진들딸기
버찌
체리
타트체리
앵두나무
살구
자두
매실
복숭아
천도복숭아
사과
배(과일)
딸기
마르멜로
땃딸기
모과
아로니아
흰땃딸기
넌출월귤
월귤
블루베리
크랜베리
운향과
틀:귤속
감귤
금귤
기주밀감
네이블오렌지
당유자
라임
레몬
만백유
발렌시아오렌지
베르가모트
병감
블러드오렌지
스위티
영귤
오렌지
온주밀감
유자
자몽
지중해감귤
칼라만시
키라임
탄제린
포멜로
핑거라임
페르시아라임
만감류
가을향
깜산
달코미
동백향
레드향
머콧
미니향
서지향
설향(감귤)
쇼군(동음이의어)
신예감
앙코르(식물)
윈터프린스
이예감
진지향
천혜향
청견
카라향
클레멘타인
탐나는봉
탐라향
팔삭
한라봉
한라향
황금향
과라나
리치(과일)
람부탄
용안
수박
멜론
뿔오이
여주(과일)
참외
뽕나무
무화과
